Drone location: drone coords: [2,2,14] size: [1,1,1], id: 193 
ap coords: [4,3,14] size: [1,1,1], id: 7
ap coords: [2,3,14] size: [1,1,1], id: 8
ap coords: [1,4,14] size: [1,1,1], id: 7
ap coords: [2,4,14] size: [1,1,1], id: 8
ap coords: [1,4,14] size: [1,1,1], id: 7
ap coords: [2,3,14] size: [1,1,1], id: 8
ap coords: [2,3,14] size: [1,1,1], id: 8
ap coords: [5,3,14] size: [1,1,1], id: 9
ap coords: [4,3,14] size: [1,1,1], id: 9
ap coords: [2,4,14] size: [1,1,1], id: 8
ap coords: [5,3,14] size: [1,1,1], id: 9
ap coords: [2,4,14] size: [1,1,1], id: 8
ap coords: [3,4,14] size: [1,1,1], id: 9
ap coords: [3,4,14] size: [1,1,1], id: 10
ap coords: [4,4,14] size: [1,1,1], id: 10
ap coords: [1,5,14] size: [1,1,1], id: 9
ap coords: [4,4,14] size: [1,1,1], id: 10
ap coords: [1,5,14] size: [1,1,1], id: 9
ap coords: [4,4,14] size: [1,1,1], id: 10
ap coords: [4,4,14] size: [1,1,1], id: 11
ap coords: [2,5,14] size: [1,1,1], id: 10
ap coords: [6,3,14] size: [1,1,1], id: 11
ap coords: [6,3,14] size: [1,1,1], id: 11
ap coords: [2,4,14] size: [1,1,1], id: 11
ap coords: [2,5,14] size: [1,1,1], id: 10
ap coords: [3,5,14] size: [1,1,1], id: 12
ap coords: [7,3,14] size: [1,1,1], id: 12
ap coords: [1,6,14] size: [1,1,1], id: 11
ap coords: [7,3,14] size: [1,1,1], id: 12
ap coords: [1,6,14] size: [1,1,1], id: 11
ap coords: [3,5,14] size: [1,1,1], id: 12
ap coords: [3,5,14] size: [1,1,1], id: 12
ap coords: [6,4,14] size: [1,1,1], id: 13
ap coords: [8,3,14] size: [1,1,1], id: 13
ap coords: [3,5,14] size: [1,1,1], id: 12
ap coords: [4,5,14] size: [1,1,1], id: 14
ap coords: [4,5,14] size: [1,1,1], id: 13
ap coords: [6,2,14] size: [1,1,1], id: 14
ap coords: [4,5,14] size: [1,1,1], id: 13
ap coords: [9,3,14] size: [1,1,1], id: 14
ap coords: [5,5,14] size: [1,1,1], id: 15
ap coords: [2,6,14] size: [1,1,1], id: 13
ap coords: [5,5,14] size: [1,1,1], id: 14
ap coords: [7,4,14] size: [1,1,1], id: 15
ap coords: [2,5,14] size: [1,1,1], id: 14
ap coords: [10,3,14] size: [1,1,1], id: 15
ap coords: [4,6,14] size: [1,1,1], id: 16
ap coords: [4,6,14] size: [1,1,1], id: 15
ap coords: [3,6,14] size: [1,1,1], id: 14
ap coords: [3,6,14] size: [1,1,1], id: 15
ap coords: [5,4,14] size: [1,1,1], id: 16
ap coords: [9,4,14] size: [1,1,1], id: 16
ap coords: [4,4,14] size: [1,1,1], id: 16
ap coords: [6,5,14] size: [1,1,1], id: 17
ap coords: [4,6,14] size: [1,1,1], id: 15
ap coords: [4,6,14] size: [1,1,1], id: 16
ap coords: [8,4,14] size: [1,1,1], id: 17
ap coords: [9,2,14] size: [1,1,1], id: 17
ap coords: [5,4,14] size: [1,1,1], id: 17
ap coords: [3,7,14] size: [1,1,1], id: 16
ap coords: [5,6,14] size: [1,1,1], id: 18
ap coords: [9,4,14] size: [1,1,1], id: 18
ap coords: [10,4,14] size: [1,1,1], id: 18
ap coords: [2,6,14] size: [1,1,1], id: 17
ap coords: [7,5,14] size: [1,1,1], id: 19
ap coords: [8,5,14] size: [1,1,1], id: 19
ap coords: [5,6,14] size: [1,1,1], id: 18
ap coords: [5,6,14] size: [1,1,1], id: 17
ap coords: [8,4,14] size: [1,1,1], id: 19
ap coords: [6,4,14] size: [1,1,1], id: 19
ap coords: [6,6,14] size: [1,1,1], id: 20
ap coords: [8,3,14] size: [1,1,1], id: 20
ap coords: [11,4,14] size: [1,1,1], id: 20
ap coords: [4,7,14] size: [1,1,1], id: 19
ap coords: [4,7,14] size: [1,1,1], id: 18
ap coords: [9,3,14] size: [1,1,1], id: 21
ap coords: [6,4,14] size: [1,1,1], id: 21
ap coords: [6,6,14] size: [1,1,1], id: 19
ap coords: [10,5,14] size: [1,1,1], id: 21
ap coords: [6,6,14] size: [1,1,1], id: 20
ap coords: [5,7,14] size: [1,1,1], id: 20
ap coords: [5,7,14] size: [1,1,1], id: 21
ap coords: [5,5,14] size: [1,1,1], id: 21
ap coords: [5,5,14] size: [1,1,1], id: 22
ap coords: [6,5,14] size: [1,1,1], id: 23
